Name,Area,Contact,Latitude,Longitude
Apollo Hospital,Jubilee Hills,040123456,17.4151,78.4123
AIG Hospital,Gachibowli,040987654,17.4335,78.3485
CARE Hospital,HITEC City,040567890,17.4535,78.3735
Yashoda Hospital,Secunderabad,040111222,17.4385,78.4985
KIMS Hospital,Secunderabad,040333444,17.4395,78.4735
NIMS Hospital,Panjagutta,040444555,17.4218,78.4520
Gandhi Hospital,Musheerabad,040444556,17.4265,78.5035
Osmania General Hospital,Afzal Gunj,040444557,17.3720,78.4740
Continental Hospital,Gachibowli,040444558,17.4155,78.3335
Medicover Hospital,HITEC City,040444559,17.4485,78.3825
Rainbow Children's Hospital,Banjara Hills,040444560,17.4185,78.4385
Basavatarakam Cancer Hospital,Banjara Hills,040444561,17.4135,78.4355
Star Hospital,Banjara Hills,040444562,17.4165,78.4375
Gleneagles Hospital,Lakdikapul,040444563,17.4055,78.4565
Kamineni Hospital,LB Nagar,040444564,17.3513,78.5561
