Name,Area,Contact,Latitude,Longitude
Gachibowli Police Station,Gachibowli,100,17.4326,78.3550
Madhapur Police Station,Madhapur,100,17.4377,78.3880
Kukatpally Police Station,Kukatpally,100,17.4847,78.4138
Ameerpet Police Station,Ameerpet,100,17.4358,78.4475
Banjara Hills Police Station,Banjara Hills,100,17.4143,78.4355
Jubilee Hills Police Station,Jubilee Hills,100,17.4326,78.4071
Hitech City Police Station,HITEC City,100,17.4416,78.3826
Panjagutta Police Station,Panjagutta,100,17.4259,78.4527
Begumpet Police Station,Begumpet,100,17.4440,78.4748
Secunderabad Police Station,Secunderabad,100,17.4691,78.5059
LB Nagar Police Station,LB Nagar,100,17.3412,78.5506
Dilsukhnagar Police Station,Dilsukhnagar,100,17.3685,78.5310
Uppal Police Station,Uppal,100,17.4022,78.5602
Mehdipatnam Police Station,Mehdipatnam,100,17.3959,78.4312
Charminar Police Station,Charminar,100,17.3568,78.4713
